"","status","geometry","type","source","sYear","Órgãos Beneficiados","Fase","Quantidade de UH","Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Bairro"," CEP"," Município"," Código do Município"," UF"," Região"," Longitude","Latitude","id"
"3200","Funciona","POINT (-47.771208 -21.23191)","SPE",NA,NA," CENTRO EDUC. TECNOL.PAULA SOUZA-CEETEPS"," Entregue"," 1"," "," SPE"," 30731,99"," 145000"," RECREIO DAS ACACIAS"," 14098555"," RIBEIRÃO PRETO"," 3543402"," SP"," ESP"," -47.771208"," -21.23191",3200
"3201","Funciona","POINT (-48.207761 -21.791758)","SPE",NA,NA," CENTRO EDUC. TECNOL.PAULA SOUZA-CEETEPS"," Entregue"," 1"," "," SPE"," 18053,72"," 114000"," PQ LARANJEIRAS"," 14801719"," ARARAQUARA"," 3503208"," SP"," ESP"," -48.207761"," -21.791758",3201
"3202","Funciona","POINT (-46.399131 -23.435872)","SPE",NA,NA," FUND.PARA O REMEDIO POPULAR-FURP"," Entregue"," 1"," "," SPE"," 34500"," 177000"," BONSUCESSO"," 7251365"," GUARULHOS"," 3518800"," SP"," RMSP"," -46.399131"," -23.435872",3202
"3203","Funciona","POINT (-45.563965 -23.050228)","SPE",NA,NA," FUND.INST.TERRAS JOSE G. DA SILVA-ITESP"," Entregue"," 1"," "," SPE"," 27928,18"," 157000"," BELéM"," 12091260"," TAUBATÉ"," 3554102"," SP"," RMVPLN"," -45.563965"," -23.050228",3203
"3204","Funciona","POINT (-46.311051 -23.557389)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 20755,79"," 146360"," CIDADE EDSON"," 08665310"," SUZANO"," 3552502"," SP"," RMSP"," -46.311051"," -23.557389",3204
"3205","Funciona","POINT (-47.364193 -22.713469)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 157763"," PQ PLANALTO"," 13455666"," SANTA BÁRBARA D'OESTE"," 3545803"," SP"," RMC"," -47.364193"," -22.713469",3205
"3206","Funciona","POINT (-48.202729 -21.788859)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 114985"," CHACARA 4 IRMAOS"," 14801525"," ARARAQUARA"," 3503208"," SP"," ESP"," -48.202729"," -21.788859",3206
"3207","Funciona","POINT (-46.644549 -24.108433)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 3100"," 150000"," VL ATLANTICA"," 11730000"," MONGAGUÁ"," 3531100"," SP"," RMBS"," -46.644549"," -24.108433",3207
"3208","Funciona","POINT (-50.424992 -22.664846)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 15168,90"," 115000"," V RIBEIRO"," 19812000"," ASSIS"," 3504008"," SP"," ESP"," -50.424992"," -22.664846",3208
"3209","Funciona","POINT (-46.181436 -23.495705)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 3100"," 96000"," JARDIM MARICA"," 08775580"," MOGI DAS CRUZES"," 3530607"," SP"," RMSP"," -46.181436"," -23.495705",3209
"3210","Funciona","POINT (-51.396855 -22.125334)","SPE",NA,NA," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 3100"," 115000"," PARQUE IMPERIAL"," 19028215"," PRESIDENTE PRUDENTE"," 3541406"," SP"," ESP"," -51.396855"," -22.125334",3210
"3211","Funciona","POINT (-47.488331 -23.535321)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 25283,04"," 100000"," VOSSOROCA"," 18119001"," VOTORANTIM"," 3557006"," SP"," RMS"," -47.488331"," -23.535321",3211
