"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"179","Funciona","POINT (-46.32775 -23.5333888888889)","FAR",NA,NA," CONDOMÍNIO AVENIDA PAULISTA II"," OBRAS >= 85%"," 300"," APTO"," FAR"," 5175504,37"," 27975504,37"," Avenida                   PAULISTA"," "," VILA IDALINA"," "," Suzano"," 3552502"," RMSP"," -46.32775"," -23.5333888888889",179
"180","Funciona","POINT (-46.4755277777778 -23.4029166666667)","FAR",NA,NA," CONDOMÍNIO CLARICE LISPECTOR"," CONCLUÍDO"," 360"," APTO"," FAR"," 2471383,14"," 24791383,14"," Rua                       Clarice Lispector"," "," Bananal"," "," Guarulhos"," 3518800"," RMSP"," -46.4755277777778"," -23.4029166666667",180
"181","Funciona","POINT (-47.4014166666667 -20.5395277777778)","FAR",NA,NA," CONDOMÍNIO DE INTERESSE SOCIAL COPACABANA I"," OBRAS"," 88"," APTO"," FAR"," 1219131,90"," 7379131,90"," Rua PROLONGAMENTO DAS RUAS VALDIR GARCIA E FRANCISCO CANDIDO PIRES"," 0"," JARDIM BOM SUCESSO I"," 14400260"," Franca"," 3516200"," ESP"," -47.4014166666667"," -20.5395277777778",181
"182","Funciona","POINT (-47.4501388888889 -20.5273333333333)","FAR",NA,NA," CONDOMÍNIO DE INTERESSE SOCIAL COPACABANA II"," OBRAS"," 174"," APTO"," FAR"," 2585788,56"," 14765788,56"," Rua PROLONGAMENTO DA RUA VALDIR GARCIA X FRANCISCO CANDIDO PIRES "," 0"," JARDIM BOM SUCESSO"," 14400260"," Franca"," 3516200"," ESP"," -47.4501388888889"," -20.5273333333333",182
"183","Funciona","POINT (-47.4495 -20.5286111111111)","FAR",NA,NA," CONDOMÍNIO DE INTERESSE SOCIAL COPACABANA III"," OBRAS"," 144"," APTO"," FAR"," 2170530,76"," 12250530,76"," Rua PROLONGAMENTO DAS RUAS VALDIR GARCIA X FRANCISCO CANDIDO PIRES"," 0"," JARDIM BOM SUCESSO I"," 14400260"," Franca"," 3516200"," ESP"," -47.4495"," -20.5286111111111",183
"184","Funciona","POINT (-46.354475 -23.5464416666667)","FAR",NA,NA," CONDOMÍNIO ESMERALDA"," ENTREGA TOTAL"," 256"," APTO"," FAR"," 4956239,36"," 24194951,81"," Avenida                   Nossa Senhora de Lourdes"," 1040"," Jardim Débora"," 08566600"," Poá"," 3539806"," RMSP"," -46.354475"," -23.5464416666667",184
"185","Funciona","POINT (-46.7881944444444 -23.5771388888889)","FAR",NA,NA," CONDOMÍNIO FLOR DE LIS"," ENTREGA TOTAL"," 300"," APTO"," FAR"," 5172787,41"," 27972787,41"," Avenida                   DR KENKITI SHIMOMOTO"," 1386"," JARDIM BELMONTE"," "," Osasco"," 3534401"," RMSP"," -46.7881944444444"," -23.5771388888889",185
"186","Funciona","POINT (-46.5033722222222 -23.6534555555556)","FAR",NA,NA," CONDOMINIO GUARATINGUETA I"," ENTREGA TOTAL"," 300"," APTO"," FAR"," 7020000"," 26520000"," Avenida                   Guaratinguetá"," 851"," Jardim Alzira Franco"," 09290270"," Santo André"," 3547809"," RMSP"," -46.5033722222222"," -23.6534555555556",186
"187","Funciona","POINT (-46.5022611111111 -23.6523444444444)","FAR",NA,NA," CONDOMINIO GUARATINGUETA II"," ENTREGA TOTAL"," 200"," APTO"," FAR"," 4680000"," 17680000"," Avenida                   Guaratinguetá"," 931"," Jardim Alzira Franco"," 09290270"," Santo André"," 3547809"," RMSP"," -46.5022611111111"," -23.6523444444444",187
"188","Funciona","POINT (-46.5039277777778 -23.6540111111111)","FAR",NA,NA," CONDOMINIO GUARATINGUETA III"," ENTREGA TOTAL"," 180"," APTO"," FAR"," 4212000"," 15912000"," Avenida                   Guaratinguetá"," 1001"," Jardim Alzira Franco"," 09290270"," Santo André"," 3547809"," RMSP"," -46.5039277777778"," -23.6540111111111",188
"189","Funciona","POINT (-46.8113 -23.641525)","FAR",NA,NA," CONDOMÍNIO RESIDENCIAL VILA DOS PÁSSAROS"," OBRAS"," 80"," APTO"," FAR"," 1599252,56"," 7679252,56"," Rua PIRAJUSSARA"," 560"," JARDIM FABIANA"," 06820405"," Embu das Artes"," 3515004"," RMSP"," -46.8113"," -23.641525",189
"190","Funciona","POINT (-46.9208333333333 -23.6049444444444)","FAR",NA,NA," CONDOMÍNIO RUBI"," OBRAS >= 85%"," 256"," APTO"," FAR"," 5110544"," 24566544"," Estrada VELHA DA OLARIA"," 1990"," "," 06719150"," Cotia"," 3513009"," RMSP"," -46.9208333333333"," -23.6049444444444",190
"191","Funciona","POINT (-49.9244861111111 -22.2641944444444)","FAR",NA,NA," CONDOMÍNIO SÃO BENTO - GLEBA A"," OBRAS"," 272"," APTO"," FAR"," 4080000"," 23120000"," Rua MARIO BATAILO"," 0"," SITIO SANTA ROSA"," "," Marília"," 3529005"," ESP"," -49.9244861111111"," -22.2641944444444",191
"192","Funciona","POINT (-49.9247638888889 -22.2644722222222)","FAR",NA,NA," CONDOMÍNIO SÃO BENTO - GLEBA B"," OBRAS"," 272"," APTO"," FAR"," 4080000"," 23120000"," Rua MARIO BATAILO"," 0"," SITIO SANTA ROSA"," "," Marília"," 3529005"," ESP"," -49.9247638888889"," -22.2644722222222",192
"193","Funciona","POINT (-49.9241666666667 -22.2638888888889)","FAR",NA,NA," CONDOMÍNIO SÃO BENTO - GLEBA C"," OBRAS"," 272"," APTO"," FAR"," 4080000"," 23120000"," Rua MARIO BATAILO"," 0"," SÍTIO SANTA ROSA"," "," Marília"," 3529005"," ESP"," -49.9241666666667"," -22.2638888888889",193
"194","Funciona","POINT (-46.8118888888889 -23.5665)","FAR",NA,NA," CONDOMÍNIO VILA ESPANHA"," OBRAS"," 300"," APTO"," FAR"," 5885458,94"," 28685458,94"," Avenida SARA VELOSO"," 1301"," VELOSO"," 06150270"," Osasco"," 3534401"," RMSP"," -46.8118888888889"," -23.5665",194
"195","Funciona","POINT (-45.7866111111111 -23.2038972222222)","FAR",NA,NA," CONJUNTO HABITACIONAL BOM RETIRO II"," OBRAS"," 198"," APTO"," FAR"," 3960000"," 19008000"," Estrada municipal do mato dentro"," s/n"," bom retiro"," 12225470"," São José dos Campos"," 3549904"," RMVPLN"," -45.7866111111111"," -23.2038972222222",195
"196","Funciona","POINT (-46.8877222222222 -21.5958333333333)","FAR",NA,NA," CONJUNTO HABITACIONAL CHICO XAVIER"," OBRAS >= 85%"," 212"," CASA"," FAR"," 1967183,58"," 16807183,58"," Avenida                   AMÉRICO EMÍLIO ROMI"," "," SÍTIO NOVO"," 13720000"," São José do Rio Pardo"," 3549706"," ESP"," -46.8877222222222"," -21.5958333333333",196
"197","Funciona","POINT (-45.7953888888889 -23.2255833333333)","FAR",NA,NA," CONJUNTO HABITACIONAL COLINAS 1"," OBRAS"," 200"," APTO"," FAR"," 3962933,42"," 19162933,41"," Estrada DOM JOSÉ ANTÔNIO DO COUTO"," 0"," "," "," São José dos Campos"," 3549904"," RMVPLN"," -45.7953888888889"," -23.2255833333333",197
"198","Funciona","POINT (-45.7953888888889 -23.2261388888889)","FAR",NA,NA," CONJUNTO HABITACIONAL COLINAS 2"," OBRAS >= 85%"," 200"," APTO"," FAR"," 3999860,28"," 19199860,27"," Estrada DOM JOSÉ ANTÔNO DO COUTO"," 0"," "," "," São José dos Campos"," 3549904"," RMVPLN"," -45.7953888888889"," -23.2261388888889",198
