"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"88","Funciona","POINT (-46.8333888888889 -24.1757222222222)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DAS SARACURAS"," OBRAS"," 48"," APTO"," FAR"," 960000"," 4608000"," Rua A"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8333888888889"," -24.1757222222222",88
"89","Funciona","POINT (-46.7757222222222 -24.1687777777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DOS BEIJA-FLORES"," OBRAS >= 85%"," 120"," APTO"," FAR"," 2400000"," 11520000"," Rua 17"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.7757222222222"," -24.1687777777778",89
"90","Funciona","POINT (-46.784 -24.1740277777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DOS BEM-TE-VIS"," OBRAS >= 85%"," 108"," APTO"," FAR"," 2160000"," 10368000"," Rua K"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.784"," -24.1740277777778",90
"91","Funciona","POINT (-46.8509166666667 -24.1729166666667)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DOS BIGUÁS"," OBRAS"," 72"," APTO"," FAR"," 1440000"," 6912000"," Rua D"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8509166666667"," -24.1729166666667",91
"92","Funciona","POINT (-46.8717777777778 -24.2198888888889)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DOS CANÁRIOS"," OBRAS"," 36"," APTO"," FAR"," 720000"," 3456000"," Rua H"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8717777777778"," -24.2198888888889",92
"93","Funciona","POINT (-46.8299444444445 -24.1812777777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DOS PAPAGAIOS"," OBRAS"," 72"," APTO"," FAR"," 1440000"," 6912000"," Rua 4"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8299444444445"," -24.1812777777778",93
"94","Funciona","POINT (-46.7795833333333 -24.1734722222222)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DOS SABIÁS"," OBRAS >= 85%"," 36"," APTO"," FAR"," 720000"," 3456000"," Rua J"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.7795833333333"," -24.1734722222222",94
"95","Funciona","POINT (-46.8547222222222 -24.21)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNIO DOS TANGARAS"," OBRAS >= 85%"," 120"," APTO"," FAR"," 2400000"," 11520000"," Rua 18"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8547222222222"," -24.21",95
"96","Funciona","POINT (-46.8311388888889 -24.1827222222222)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNO DAS CORUJAS"," OBRAS"," 36"," APTO"," FAR"," 720000"," 3456000"," Rua 7"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8311388888889"," -24.1827222222222",96
"97","Funciona","POINT (-46.8713611111111 -24.2198055555556)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DOS PÁSSAROS - CONDOMÍNO DAS GARÇAS"," OBRAS"," 72"," APTO"," FAR"," 1440000"," 6912000"," Rua H"," 0"," SAVOY II"," "," Itanhaém"," 3522109"," RMBS"," -46.8713611111111"," -24.2198055555556",97
"98","Funciona","POINT (-46.4040916666667 -23.4413)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL DUNAS"," OBRAS"," 440"," APTO"," FAR"," 8800000"," 42240000"," Estrada                   DO CAMINHO VELHO"," "," ÁGUA CHATA/BONSUCESSO"," "," Guarulhos"," 3518800"," RMSP"," -46.4040916666667"," -23.4413",98
"99","Funciona","POINT (-47.8983888888889 -22.0059722222222)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL EDUARDO ABDELNUR"," OBRAS"," 986"," CASA"," FAR"," 11680165,90"," 80699724,97"," "," "," "," "," São Carlos"," 3548906"," ESP"," -47.8983888888889"," -22.0059722222222",99
"100","Funciona","POINT (-46.6527472222222 -23.7132111111111)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL ESPANHA"," APORTE EMITIDO"," 3860"," APTO"," FAR"," 72864572,09"," 379892839,29"," Rua DAVIDE PEREZ"," S/N"," Jardim Bandeirante"," 04470260"," São Paulo"," 3550308"," RMSP"," -46.6527472222222"," -23.7132111111111",100
"101","Funciona","POINT (-47.1860555555556 -22.8789166666667)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL EUROPA II"," OBRAS >= 85%"," 440"," APTO"," FAR"," 5768357,58"," 39208357,58"," Estrada Municipal SABINA BAPTISTA E CAMARGO"," 0"," "," "," Hortolândia"," 3519071"," RMC"," -47.1860555555556"," -22.8789166666667",101
"102","Funciona","POINT (-45.6155833333333 -22.7560833333333)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL FLORESTA NEGRA"," APORTE EMITIDO"," 50"," APTO"," FAR"," 1250000"," 4750000"," Rua F, CHÁCRA 41"," 0"," FLORESTA NEGRA"," "," Campos do Jordão"," 3509700"," RMVPLN"," -45.6155833333333"," -22.7560833333333",102
